strain	accession	name	segment	date	host	country	abbreviation	virus
B5_126	MH716383	B5_126	NA	2013_12_05	Human	Viet_Nam	B5	Human_enterovirus_71
B5_127	MH716384	B5_127	NA	2014_03_18	Human	Viet_Nam	B5	Human_enterovirus_71
B5_128	MH716385	B5_128	NA	2013_10_30	Human	Viet_Nam	B5	Human_enterovirus_71
B5_129	MH716386	B5_129	NA	2013_09_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_13	MH716270	B5_13	NA	2014_10_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_130	MH716387	B5_130	NA	2013_10_25	Human	Viet_Nam	B5	Human_enterovirus_71
B5_131	MH716388	B5_131	NA	2014_01_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_132	MH716389	B5_132	NA	2013_10_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_133	MH716390	B5_133	NA	2013_07_29	Human	Viet_Nam	B5	Human_enterovirus_71
B5_134	MH716391	B5_134	NA	2013_08_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_135	MH716392	B5_135	NA	2013_10_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_136	MH716393	B5_136	NA	2013_08_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_14	MH716271	B5_14	NA	2014_11_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_15	MH716272	B5_15	NA	2014_12_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_16	MH716273	B5_16	NA	2014_10_30	Human	Viet_Nam	B5	Human_enterovirus_71
B5_17	MH716274	B5_17	NA	2014_10_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_18	MH716275	B5_18	NA	2015_03_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_19	MH716276	B5_19	NA	2015_03_25	Human	Viet_Nam	B5	Human_enterovirus_71
B5_2	MH716259	B5_2	NA	2014_11_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_20	MH716277	B5_20	NA	2015_04_06	Human	Viet_Nam	B5	Human_enterovirus_71
B5_21	MH716278	B5_21	NA	2014_11_17	Human	Viet_Nam	B5	Human_enterovirus_71
B5_22	MH716279	B5_22	NA	2014_12_05	Human	Viet_Nam	B5	Human_enterovirus_71
B5_23	MH716280	B5_23	NA	2014_11_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_24	MH716281	B5_24	NA	2014_09_03	Human	Viet_Nam	B5	Human_enterovirus_71
B5_25	MH716282	B5_25	NA	2014_04_10	Human	Viet_Nam	B5	Human_enterovirus_71
B5_26	MH716283	B5_26	NA	2014_10_02	Human	Viet_Nam	B5	Human_enterovirus_71
B5_27	MH716284	B5_27	NA	2014_10_29	Human	Viet_Nam	B5	Human_enterovirus_71
B5_28	MH716285	B5_28	NA	2014_12_08	Human	Viet_Nam	B5	Human_enterovirus_71
B5_29	MH716286	B5_29	NA	2014_10_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_3	MH716260	B5_3	NA	2013_09_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_30	MH716287	B5_30	NA	2014_11_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_31	MH716288	B5_31	NA	2014_09_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_32	MH716289	B5_32	NA	2014_11_14	Human	Viet_Nam	B5	Human_enterovirus_71
B5_33	MH716290	B5_33	NA	2014_08_08	Human	Viet_Nam	B5	Human_enterovirus_71
B5_34	MH716291	B5_34	NA	2014_11_12	Human	Viet_Nam	B5	Human_enterovirus_71
B5_35	MH716292	B5_35	NA	2013_11_13	Human	Viet_Nam	B5	Human_enterovirus_71
B5_36	MH716293	B5_36	NA	2013_07_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_37	MH716294	B5_37	NA	2013_11_06	Human	Viet_Nam	B5	Human_enterovirus_71
B5_38	MH716295	B5_38	NA	2013_11_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_39	MH716296	B5_39	NA	2013_11_13	Human	Viet_Nam	B5	Human_enterovirus_71
B5_4	MH716261	B5_4	NA	2013_10_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_40	MH716297	B5_40	NA	2013_10_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_41	MH716298	B5_41	NA	2014_10_08	Human	Viet_Nam	B5	Human_enterovirus_71
B5_42	MH716299	B5_42	NA	2015_01_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_43	MH716300	B5_43	NA	2015_01_17	Human	Viet_Nam	B5	Human_enterovirus_71
B5_44	MH716301	B5_44	NA	2013_12_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_45	MH716302	B5_45	NA	2013_11_06	Human	Viet_Nam	B5	Human_enterovirus_71
B5_46	MH716303	B5_46	NA	2013_08_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_47	MH716304	B5_47	NA	2014_11_03	Human	Viet_Nam	B5	Human_enterovirus_71
B5_48	MH716305	B5_48	NA	2014_07_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_49	MH716306	B5_49	NA	2015_03_18	Human	Viet_Nam	B5	Human_enterovirus_71
B5_5	MH716262	B5_5	NA	2014_04_01	Human	Viet_Nam	B5	Human_enterovirus_71
B5_50	MH716307	B5_50	NA	2015_01_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_51	MH716308	B5_51	NA	2013_09_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_52	MH716309	B5_52	NA	2013_11_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_53	MH716310	B5_53	NA	2014_11_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_54	MH716311	B5_54	NA	2013_10_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_55	MH716312	B5_55	NA	2013_09_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_56	MH716313	B5_56	NA	2013_07_24	Human	Viet_Nam	B5	Human_enterovirus_71
B5_57	MH716314	B5_57	NA	2014_04_01	Human	Viet_Nam	B5	Human_enterovirus_71
B5_58	MH716315	B5_58	NA	2014_06_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_59	MH716316	B5_59	NA	2014_04_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_6	MH716263	B5_6	NA	2013_11_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_60	MH716317	B5_60	NA	2014_04_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_61	MH716318	B5_61	NA	2013_10_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_62	MH716319	B5_62	NA	2014_12_03	Human	Viet_Nam	B5	Human_enterovirus_71
B5_63	MH716320	B5_63	NA	2013_09_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_64	MH716321	B5_64	NA	2014_10_29	Human	Viet_Nam	B5	Human_enterovirus_71
