strain	accession	name	segment	date	host	country	abbreviation	virus
BJ01	JF820316	BJ01		2010-02-XX	Human	China	C4	Enterovirus_A71
BJ02	JF820314	BJ02		2010-02-XX	Human	China	C4	Enterovirus_A71
BJ06_SJS06	HQ129932	BJ06_SJS06		2006-XX-XX	Human	China		Enterovirus_A71
BJ08	FJ828519	BJ08		2008-XX-XX	Human	China	C4	Enterovirus_A71
BJ08_Z004_3	FJ606447	BJ08_Z004_3		2008-07-XX	Human	China		Enterovirus_A71
BJ08_Z011_4	FJ606448	BJ08_Z011_4		2008-07-XX	Human	China		Enterovirus_A71
BJ08_Z020_1	FJ606449	BJ08_Z020_1		2008-07-XX	Human	China		Enterovirus_A71
BJ08_Z025_5	FJ606450	BJ08_Z025_5		2008-07-XX	Human	China		Enterovirus_A71
BJ09/07	JQ319054	BJ09/07		2009-XX-XX	Human	China		Enterovirus_A71
BJ110	HM002486	BJ110		2008-05-30	Human	China		Enterovirus_A71
BJ293	HM053669	BJ293		2008-07-28	Human	China		Enterovirus_A71
BJ303	HM002487	BJ303		2008-07-31	Human	China		Enterovirus_A71
BJ366	HM002488	BJ366		2009-04-10	Human	China		Enterovirus_A71
BJ393	HM053670	BJ393		2009-04-30	Human	China		Enterovirus_A71
BJ398	HM002489	BJ398		2009-05-05	Human	China		Enterovirus_A71
BJ462	HM053671	BJ462		2009-08-12	Human	China		Enterovirus_A71
BJ67	HM002484	BJ67		2008-05-07	Human	China		Enterovirus_A71
BJ97	HM002485	BJ97		2008-05-25	Human	China		Enterovirus_A71
BrCr	AB204853	BrCr		20XX-XX-XX	Unknown	?	71	Enterovirus_A71
BRU/2006/35334	JQ724182	BRU/2006/35334		20XX-XX-XX	Mouse	Brunei		Enterovirus_A71
BS	KF514878	BS		20XX-XX-XX	Unknown	?		Enterovirus_A71
BZ200805	HQ694983	BZ200805		2008-05-08	Human	China		Enterovirus_A71
C1/FY08_C30_P11	GU198369	C1/FY08_C30_P11		2008-05-XX	Human	China		Enterovirus_A71
C1/FY08_C30_P9	GU198368	C1/FY08_C30_P9		2008-05-XX	Human	China		Enterovirus_A71
C2_NHRIEV95528_TW_Jun_25_12	KF306101	C2_NHRIEV95528_TW_Jun_25_12		2012-06-25	Human	Taiwan	C2	Enterovirus_A71
C2/FY08_C30	GU198370	C2/FY08_C30		2008-05-XX	Human	China		Enterovirus_A71
C4	KM593929	C4		2011-03-05	Human	Taiwan	A71	Enterovirus_A71
C4a_01585_TW_2011	KJ186974	C4a_01585_TW_2011		2011-05-21	Human	Taiwan	C4a	Enterovirus_A71
C4a_70365_TW_2010	KJ186973	C4a_70365_TW_2010		2010-06-02	Human	Taiwan	C4a	Enterovirus_A71
C7/Osaka_LPS1	AB550337	C7/Osaka_LPS1		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
C7/Osaka_org	AB550336	C7/Osaka_org		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
Chongqing1_09_China	GQ994989	Chongqing1_09_China		2009-04-XX	Human	China		Enterovirus_A71
Chongqing2_09_China	GQ994990	Chongqing2_09_China		2009-04-XX	Human	China		Enterovirus_A71
Chongqing3_09_China	GQ994991	Chongqing3_09_China		2009-04-XX	Human	China		Enterovirus_A71
cmuh_050530_5	HM807310	cmuh_050530_5		2005-08-XX	Human	Taiwan		Enterovirus_A71
CQ03_1/CQ/CHN/2003	JX678874	CQ03_1/CQ/CHN/2003		2003-XX-XX	Human	China	C4	Enterovirus_A71
CSF_CH_06	EU414333	CSF_CH_06		20XX-XX-XX	Unknown	Switzerland		Enterovirus_A71
DL71	KF982854	DL71		2012-10-18	Human	China		Enterovirus_A71
DTID/ZJU_62	FJ158600	DTID/ZJU_62		2008-XX-XX	Unknown	China		Enterovirus_A71
DTID/ZJU_74	FJ158601	DTID/ZJU_74		2008-XX-XX	Unknown	China		Enterovirus_A71
E2002042_TW_CDC	EF373575	E2002042_TW_CDC		20XX-XX-XX	Unknown	Taiwan		Enterovirus_A71
E2004104_TW_CDC	EF373576	E2004104_TW_CDC		20XX-XX-XX	Unknown	Taiwan		Enterovirus_A71
E2005125_TW	EF063152	E2005125_TW		20XX-XX-XX	Unknown	Taiwan		Enterovirus_A71
ENT/PM/SHA52	AM396584	ENT/PM/SHA52		20XX-XX-XX	Unknown	Malaysia		Enterovirus_A71
ENT/PM/SHA71	AM396585	ENT/PM/SHA71		20XX-XX-XX	Unknown	Malaysia		Enterovirus_A71
EV003_07	HQ647173	EV003_07		2006-11-XX	Human	Canada		Enterovirus_A71
EV034_06	HQ647180	EV034_06		2006-07-XX	Human	Canada		Enterovirus_A71
EV049_07	HQ647176	EV049_07		2007-07-XX	Human	Canada		Enterovirus_A71
EV053_07	HQ647175	EV053_07		2007-07-XX	Human	Canada		Enterovirus_A71
EV054_07	HQ647167	EV054_07		2007-07-XX	Human	Canada		Enterovirus_A71
EV063_04	HQ647172	EV063_04		1994-10-XX	Human	Canada		Enterovirus_A71
EV073_07	HQ647177	EV073_07		2007-08-XX	Human	Canada		Enterovirus_A71
EV082_07	HQ647178	EV082_07		2007-08-XX	Human	Canada		Enterovirus_A71
EV090_07	HQ647169	EV090_07		2007-08-XX	Human	Canada		Enterovirus_A71
EV123_07	HQ647174	EV123_07		2007-10-XX	Human	Canada		Enterovirus_A71
EV124_07	HQ647170	EV124_07		2007-10-XX	Human	Canada		Enterovirus_A71
EV141_06	HQ647171	EV141_06		2006-08-XX	Human	Canada		Enterovirus_A71
EV144_06	HQ647179	EV144_06		2006-09-XX	Human	Canada		Enterovirus_A71
EV71_Hubei_09_China	GU434678	EV71_Hubei_09_China		20XX-XX-XX	Human	China		Enterovirus_A71
EV71/9/97/SHA89	AJ586873	EV71/9/97/SHA89		20XX-XX-XX	Unknown	Malaysia		Enterovirus_A71
EV71/Fuyang.Anhui.P.R.C/17.08/1	EU703812	EV71/Fuyang.Anhui.P.R.C/17.08/1		2008-04-XX	Human	China		Enterovirus_A71
EV71/Fuyang.Anhui.P.R.C/17.08/2	EU703813	EV71/Fuyang.Anhui.P.R.C/17.08/2		2008-04-XX	Human	China		Enterovirus_A71
EV71/Fuyang.Anhui.P.R.C/17.08/3	EU703814	EV71/Fuyang.Anhui.P.R.C/17.08/3		2008-04-XX	Human	China		Enterovirus_A71
EV71/GD10_12/2010	KJ004559	EV71/GD10_12/2010		2010-XX-XX	Human	China	C4	Enterovirus_A71
EV71/GD10_45/2010	KJ004560	EV71/GD10_45/2010		2010-XX-XX	Human	China	C4	Enterovirus_A71
EV71/GD10_7/2010	KJ004558	EV71/GD10_7/2010		2010-XX-XX	Human	China	C4	Enterovirus_A71
EV71/GDFS/3/2008	FJ194964	EV71/GDFS/3/2008		2008-05-XX	Human	China		Enterovirus_A71
EV71/GDSG/17/2008	FJ194965	EV71/GDSG/17/2008		2008-05-XX	Human	China	c	Enterovirus_A71
EV71/Henan/106/2009	HQ998852	EV71/Henan/106/2009		2009-XX-XX	Human	China		Enterovirus_A71
EV71/Henan/294/2010	HM245927	EV71/Henan/294/2010		2010-XX-XX	Human	China		Enterovirus_A71
EV71/Henan/399/2010	HM245928	EV71/Henan/399/2010		2010-XX-XX	Human	China		Enterovirus_A71
EV71/HENAN/DC/2010	HQ325852	EV71/HENAN/DC/2010		2010-08-20	Human	China		Enterovirus_A71
EV71/Homo_sapiens/KHM/260/2012	KP308401	EV71/Homo_sapiens/KHM/260/2012		2012-07-09	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/268/2012	KP308453	EV71/Homo_sapiens/KHM/268/2012		2012-07-24	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/269/2012	KP308415	EV71/Homo_sapiens/KHM/269/2012		2012-07-28	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/271/2012	KP308433	EV71/Homo_sapiens/KHM/271/2012		2012-07-29	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/272/2012	KP308432	EV71/Homo_sapiens/KHM/272/2012		2012-07-29	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/274/2012	KP308448	EV71/Homo_sapiens/KHM/274/2012		2012-07-29	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/275/2012	KP308441	EV71/Homo_sapiens/KHM/275/2012		2012-07-31	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/277/2012	KP308414	EV71/Homo_sapiens/KHM/277/2012		2012-07-30	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/280/2012	KP308430	EV71/Homo_sapiens/KHM/280/2012		2012-08-07	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/284/2012	KP308420	EV71/Homo_sapiens/KHM/284/2012		2012-08-09	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/285/2012	KP308417	EV71/Homo_sapiens/KHM/285/2012		2012-08-09	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/287/2012	KP308428	EV71/Homo_sapiens/KHM/287/2012		2012-08-12	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/293/2012	KP308437	EV71/Homo_sapiens/KHM/293/2012		2012-08-20	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/295/2012	KP308436	EV71/Homo_sapiens/KHM/295/2012		2012-08-21	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/297/2012	KP308403	EV71/Homo_sapiens/KHM/297/2012		2012-08-26	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/298/2012	KP308434	EV71/Homo_sapiens/KHM/298/2012		2012-08-25	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/299/2012	KP308421	EV71/Homo_sapiens/KHM/299/2012		2012-08-25	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/300/2012	KP308451	EV71/Homo_sapiens/KHM/300/2012		2012-09-06	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/302/2012	KP308438	EV71/Homo_sapiens/KHM/302/2012		2012-09-09	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/304/2012	KP308408	EV71/Homo_sapiens/KHM/304/2012		2012-09-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/308/2012	KP308456	EV71/Homo_sapiens/KHM/308/2012		2012-11-05	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/309/2012	KP308404	EV71/Homo_sapiens/KHM/309/2012		2012-11-07	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/310/2012	KP308402	EV71/Homo_sapiens/KHM/310/2012		2012-11-13	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/311/2012	KP308439	EV71/Homo_sapiens/KHM/311/2012		2012-11-23	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/312/2012	KP308427	EV71/Homo_sapiens/KHM/312/2012		2012-12-06	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/313/2012	KP308435	EV71/Homo_sapiens/KHM/313/2012		2012-12-08	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/315/2013	KP308431	EV71/Homo_sapiens/KHM/315/2013		2013-02-06	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/316/2013	KP308458	EV71/Homo_sapiens/KHM/316/2013		2013-02-25	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/319/2013	KP308426	EV71/Homo_sapiens/KHM/319/2013		2013-09-23	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/330/2012	KP308445	EV71/Homo_sapiens/KHM/330/2012		2012-07-12	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/336/2012	KP308459	EV71/Homo_sapiens/KHM/336/2012		2012-07-12	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/342/2012	KP308410	EV71/Homo_sapiens/KHM/342/2012		2012-07-13	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/349/2012	KP308447	EV71/Homo_sapiens/KHM/349/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/351/2012	KP308411	EV71/Homo_sapiens/KHM/351/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/352/2012	KP308419	EV71/Homo_sapiens/KHM/352/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/353/2012	KP308409	EV71/Homo_sapiens/KHM/353/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/354/2012	KP308416	EV71/Homo_sapiens/KHM/354/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/359/2012	KP308429	EV71/Homo_sapiens/KHM/359/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/360/2012	KP308446	EV71/Homo_sapiens/KHM/360/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/361/2012	KP308423	EV71/Homo_sapiens/KHM/361/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/362/2012	KP308422	EV71/Homo_sapiens/KHM/362/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/367/2012	KP308450	EV71/Homo_sapiens/KHM/367/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/368/2012	KP308442	EV71/Homo_sapiens/KHM/368/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/371/2012	KP308454	EV71/Homo_sapiens/KHM/371/2012		2012-07-14	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/374/2012	KP308425	EV71/Homo_sapiens/KHM/374/2012		2012-07-17	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/375/2012	KP308440	EV71/Homo_sapiens/KHM/375/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/376/2012	KP308405	EV71/Homo_sapiens/KHM/376/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/377/2012	KP308412	EV71/Homo_sapiens/KHM/377/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/378/2012	KP308449	EV71/Homo_sapiens/KHM/378/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/382/2012	KP308457	EV71/Homo_sapiens/KHM/382/2012		2012-06-17	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/384/2012	KP308407	EV71/Homo_sapiens/KHM/384/2012		2012-07-17	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/388/2012	KP308424	EV71/Homo_sapiens/KHM/388/2012		2012-07-19	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/392/2012	KP308418	EV71/Homo_sapiens/KHM/392/2012		2012-07-21	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/393/2012	KP308452	EV71/Homo_sapiens/KHM/393/2012		2012-07-24	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/394/2012	KP308443	EV71/Homo_sapiens/KHM/394/2012		2012-07-25	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/397/2012	KP308406	EV71/Homo_sapiens/KHM/397/2012		2012-08-31	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/398/2012	KP308444	EV71/Homo_sapiens/KHM/398/2012		2012-07-16	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/KHM/400/XXXX	KP308460	EV71/Homo_sapiens/KHM/400/XXXX		20XX-XX-XX	Human	Cambodia		Enterovirus_A71
EV71/Homo_sapiens/VNM/1/2011	KJ686299	EV71/Homo_sapiens/VNM/1/2011		2011-08-28	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/10/2011	KJ686164	EV71/Homo_sapiens/VNM/10/2011		2011-10-10	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/101/2012	KJ686181	EV71/Homo_sapiens/VNM/101/2012		2012-03-27	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/103/2012	KJ686195	EV71/Homo_sapiens/VNM/103/2012		2012-03-27	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/105/2012	KJ686162	EV71/Homo_sapiens/VNM/105/2012		2012-03-29	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/107/2012	KJ686241	EV71/Homo_sapiens/VNM/107/2012		2012-03-29	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/108/2012	KJ686214	EV71/Homo_sapiens/VNM/108/2012		2012-03-29	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/109/2012	KJ686150	EV71/Homo_sapiens/VNM/109/2012		2012-03-30	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/11/2011	KJ686242	EV71/Homo_sapiens/VNM/11/2011		2011-10-11	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/110/2012	KJ686174	EV71/Homo_sapiens/VNM/110/2012		2012-03-31	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/111/2012	KJ686156	EV71/Homo_sapiens/VNM/111/2012		2012-03-31	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/113/2012	KJ686225	EV71/Homo_sapiens/VNM/113/2012		2012-04-03	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/114/2012	KJ686205	EV71/Homo_sapiens/VNM/114/2012		2012-04-07	Human	Viet Nam		Enterovirus_A71
EV71/Homo_sapiens/VNM/116/2012	KJ686168	EV71/Homo_sapiens/VNM/116/2012		2012-04-11	Human	Viet Nam		Enterovirus_A71
